Company Name,,LTP (Last Traded Price),52 Week High,52 Week Low
KPR Mill,,851.95,928.15,615.00
Kudremukh Iron Ore Company,,461.6,577.35,184.50
Kaynes Technology,,3797.85,"3,775.00","1,461.10"
Kansai Nerolac Paints,,282.9,357.30,251.85
KEC International,,935.5,871.20,543.25
Kajaria Ceramics,,1284.4,"1,523.80","1,110.35"
Kalpataru Projects International,,1220.2,"1,342.60",516.00
Kirloskar Oil Engines,,1339.2,"1,379.00",382.10
Karur Vysya Bank,,208.28,218.00,114.10
KSB,,4748.15,"5,190.00","2,013.35"
Krishna Institute of Medical Sciences,,2036.7,"2,356.40","1,599.45"
Kirloskar Brothers,,2180,"2,069.00",564.20
KFin Technologies,,715.55,822.00,335.10
KPI Green Energy,,1834.9,"2,109.15",424.70
KNR Constructions,,388.7,407.00,235.00
Kirloskar Pneumatic Company,,1383.65,"1,420.05",541.05
LIC of India,,1066.85,"1,175.00",595.05
Larsen & Toubro,,3687.8,"3,919.90","2,340.00"
LTI Mindtree,,5032.55,"6,442.00","4,513.55"
Linde,,9262.4,"9,935.05","4,280.00"
Lupin,,1604.1,"1,728.00",809.95
L&T Technology Services,,4845.8,"5,873.35","3,755.25"
L&T Finance,,181.87,179.18,108.55
LIC Housing Finance,,731.65,726.00,370.00
Lloyds Metals & Energy,,723.4,750.00,492.00
Laurus Labs,,434.9,471.00,328.15
Lakshmi Machine Works,,16129.2,"17,794.15","12,208.00"
Lemon Tree Hotels,,150.18,158.00,89.90
Latent View Analytics,,506.6,567.10,331.50
LT Foods,,263.94,260.79,160.00
Lloyds Engineering Works,,70.6,73.20,22.46
Laxmi Organic Industries,,251.96,320.95,220.00
Lux Industries,,1463.15,"1,719.55","1,071.75"
LG Balakrishnan & Bros,,1255.25,"1,425.00",805.60
La Opala RG,,317.25,479.75,290.40
Lumax Auto Technologies,,531.65,528.40,332.35
Maruti Suzuki,,12845.2,"13,073.95","9,254.15"
Mahindra & Mahindra,,2928.6,"2,886.00","1,366.00"
Macrotech Developers,,1557.1,"1,552.50",621.00
Mankind Pharma,,2240.6,"2,490.00","1,524.10"
Max Healthcare Institute,,927.9,914.80,508.50
Marico,,619.35,667.20,486.30
Muthoot Finance,,1770,"1,810.95","1,140.50"
Mazagon Dock Shipbuilders,,3877.55,"3,478.00","1,022.00"
MRF,,125580.7,"1,51,445.00","98,280.10"
Mphasis,,2408.85,"2,837.60","1,807.60"
Motilal Oswal Financial Services,,658.25,722.00,166.76
Mangalore Refinery & Petroleum,,215.12,289.25,65.00
M&M Financial Services,,298.95,346.55,237.35
Max Financial Services,,993.5,"1,092.00",668.30
Motherson Sumi Wiring,,73.91,74.80,55.35
Metro Brands,,1150.2,"1,441.20",929.00
MCX,,3909.9,"4,270.00","1,411.40"
Manappuram Finance,,185.37,207.30,118.40
Mahanagar Gas,,1465.85,"1,580.00",970.55
Mama Earth,,429.7,511.00,256.30
NTPC,,368.45,393.20,183.35
Nestle,,2542.5,"2,769.30","2,145.00"
NHPC,,102.59,118.00,44.75
NMDC,,267.4,286.35,103.80
Nykaa,,171.06,195.50,130.10
Nippon Life India AMC,,646.5,657.00,243.00
NALCO,,191.91,206.30,80.65
NLC India,,231.94,293.75,95.80
NBCC,,159.47,176.85,38.20
Narayana Hrudayalaya,,1237.3,"1,444.90",936.55
Natco Pharma,,1210.6,"1,189.00",618.65
Nagarjuna Construction Company,,328.6,336.70,117.40
Nuvama Wealth Management,,5068.15,"5,500.00","2,100.00"
Navin Fluorine International,,3545.25,"4,724.25","2,875.95"
NMDC Steel,,59.64,73.70,39.15
Netweb Technologies,,2596,"2,611.45",738.60
Newgen Software Technologies,,917.7,"1,234.00",302.53
Nuvoco Vistas Corporation,,366.05,398.00,291.30
Nava Bharat Ventures,,643.05,672.90,304.00
Network 18 Media,,85.1,135.70,57.15
Oil & Natural Gas Corporation,,275.4,292.95,155.40
Oracle Financial Services Software,,9510.7,"9,760.00","3,737.25"
Oil India,,699.45,689.85,240.80
Oberoi Realty,,1907.8,"1,952.05",975.00
Olectra Greentech,,1757.15,"2,221.95",898.20
Oriana Power,,2792.05,"2,905.25",271.90
Orchid Pharma,,1057.8,"1,359.95",411.55
Orient Electric,,245.31,262.00,189.00
Orient Cement,,239.35,293.75,125.10
Orissa Minerals Development Comp,,6630.5,"8,344.00","2,728.00"
Oriental Hotels,,142.81,154.80,79.05
Optiemus Infracom,,276.15,381.45,201.95
Owais Metal & Mineral Processing,,1266.55,"1,340.00",231.35
Orient Green Power,,21.18,34.45,9.07
Omaxe,,92.78,122.45,42.05
Om Infra,,167.02,174.44,45.85
Oriental Aromatics,,378.8,503.20,293.00
One Point One Solutions,,58.81,70.00,20.35
Orient Paper & Industries,,51.36,59.80,40.00
Onward Technologies,,409.7,740.00,334.30
Power Grid Corporation of India,,321.5,348.70,177.53
Power Finance Corporation,,510.05,559.00,155.40
Pidilite Industries,,3109.8,"3,231.00","2,292.55"
Punjab National Bank,,128.94,142.90,49.70
Polycab,,7079.9,"7,116.20","3,379.75"
Prestige Estate,,1926.85,"1,910.00",521.20
Phoenix Mills,,3561.6,"3,515.10","1,516.00"
PB FinTech,,1372.05,"1,400.35",626.00
PERSISTENT SYSTEMS LTD,,3772.8,"4,450.00","2,317.18"
PI Industries,,3639,"4,040.00","3,220.00"
P&G Hygiene and Health Care,,16825.2,"19,250.00","13,764.05"
Patanjali Foods,,1483.55,"1,713.80","1,035.00"
Petronet LNG,,323.9,326.00,191.70
Page Industries,,38512.7,"42,885.00","33,070.05"
Punjab & Sind Bank,,63.17,77.50,29.45
Poonawalla Fincorp,,437.35,519.70,332.10
Paytm,,425.05,998.30,310.00
Pfizer,,4829.1,"5,018.15","3,724.10"
PNB Housing Finance,,832.95,913.70,558.00
Piramal Pharma,,157.86,166.70,87.21
Quess Corp,,619.65,670.40,397.70
Quick Heal Technologies,,474.05,599.70,148.00
QMS Medical Allied Services,,104.8,189.00,90.25
Quicktouch Technologies,,122.15,274.00,105.00
Quality Foils,,123.8,166.70,77.00
Quadpro ITES,,5.6,8.80,4.80
Reliance Industries,,2955.1,"3,029.00","2,220.30"
Rural Electrification Corporation,,532.65,607.80,151.00
Rail Vikas Nigam,,390.2,425.00,117.05
Ratnamani Metals & Tubes,,3403.5,"3,938.80","2,262.05"
Radico Khaitan,,1722.45,"1,885.10","1,141.25"
Relaxo Footwears,,834.1,974.00,758.25
Ramco Cements,,869.35,"1,058.20",700.00
RR Kabel,,1757.45,"1,901.95","1,136.80"
Redington,,216.53,237.55,136.20
Raymond,,2487.5,"2,685.00","1,487.60"
