Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Mazagon Dock Shipbuilders,"3,877.55","3,478.00","1,022.00"
MRF,"1,25,580.70","1,51,445.00","98,280.10"
Mphasis,"2,408.85","2,837.60","1,807.60"
Motilal Oswal Financial Services,658.25,722.00,166.76
Mangalore Refinery & Petroleum,215.12,289.25,65.00
M&M Financial Services,298.95,346.55,237.35
Max Financial Services,993.50,"1,092.00",668.30
Motherson Sumi Wiring,73.91,74.80,55.35
Metro Brands,"1,150.20","1,441.20",929.00
MCX,"3,909.90","4,270.00","1,411.40"
Manappuram Finance,185.37,207.30,118.40
Mahanagar Gas,"1,465.85","1,580.00",970.55
Mama Earth,429.70,511.00,256.30
NTPC,368.45,393.20,183.35
Nestle,"2,542.50","2,769.30","2,145.00"
NHPC,102.59,118.00,44.75
NMDC,267.40,286.35,103.80
Nykaa,171.06,195.50,130.10
Nippon Life India AMC,646.50,657.00,243.00
NALCO,191.91,206.30,80.65
NLC India,231.94,293.75,95.80
NBCC,159.47,176.85,38.20
Narayana Hrudayalaya,"1,237.30","1,444.90",936.55
Natco Pharma,"1,210.60","1,189.00",618.65
Nagarjuna Construction Company,328.60,336.70,117.40
Nuvama Wealth Management,"5,068.15","5,500.00","2,100.00"
Navin Fluorine International,"3,545.25","4,724.25","2,875.95"
NMDC Steel,59.64,73.70,39.15
Netweb Technologies,"2,596.00","2,611.45",738.60
Newgen Software Technologies,917.70,"1,234.00",302.53
Nuvoco Vistas Corporation,366.05,398.00,291.30
Nava Bharat Ventures,643.05,672.90,304.00
Network 18 Media,85.10,135.70,57.15
Oil & Natural Gas Corporation,275.40,292.95,155.40
Oracle Financial Services Software,"9,510.70","9,760.00","3,737.25"
Oil India,699.45,689.85,240.80
Oberoi Realty,"1,907.80","1,952.05",975.00
Olectra Greentech,"1,757.15","2,221.95",898.20
Oriana Power,"2,792.05","2,905.25",271.90
Orchid Pharma,"1,057.80","1,359.95",411.55
Orient Electric,245.31,262.00,189.00
Orient Cement,239.35,293.75,125.10
Orissa Minerals Development Comp,"6,630.50","8,344.00","2,728.00"
Oriental Hotels,142.81,154.80,79.05
Optiemus Infracom,276.15,381.45,201.95
Owais Metal & Mineral Processing,"1,266.55","1,340.00",231.35
Orient Green Power,21.18,34.45,9.07
Omaxe,92.78,122.45,42.05
Om Infra,167.02,174.44,45.85
Oriental Aromatics,378.80,503.20,293.00
One Point One Solutions,58.81,70.00,20.35
Orient Paper & Industries,51.36,59.80,40.00
Onward Technologies,409.70,740.00,334.30
Power Grid Corporation of India,321.50,348.70,177.53
Power Finance Corporation,510.05,559.00,155.40
Pidilite Industries,"3,109.80","3,231.00","2,292.55"
Punjab National Bank,128.94,142.90,49.70
Polycab,"7,079.90","7,116.20","3,379.75"
Prestige Estate,"1,926.85","1,910.00",521.20
Phoenix Mills,"3,561.60","3,515.10","1,516.00"
PB FinTech,"1,372.05","1,400.35",626.00
PERSISTENT SYSTEMS LTD,"3,772.80","4,450.00","2,317.18"
PI Industries,"3,639.00","4,040.00","3,220.00"
P&G Hygiene and Health Care,"16,825.20","19,250.00","13,764.05"
Patanjali Foods,"1,483.55","1,713.80","1,035.00"
Petronet LNG,323.90,326.00,191.70
Page Industries,"38,512.70","42,885.00","33,070.05"
Punjab & Sind Bank,63.17,77.50,29.45
Poonawalla Fincorp,437.35,519.70,332.10
Paytm,425.05,998.30,310.00
Pfizer,"4,829.10","5,018.15","3,724.10"
PNB Housing Finance,832.95,913.70,558.00
Piramal Pharma,157.86,166.70,87.21
Quess Corp,619.65,670.40,397.70
Quick Heal Technologies,474.05,599.70,148.00
QMS Medical Allied Services,104.80,189.00,90.25
Quicktouch Technologies,122.15,274.00,105.00
Quality Foils,123.80,166.70,77.00
