Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
IIFL Finance,472.35,683.25,304.28
Kalpataru Projects International,"1,226.80","1,342.60",516.00
CESC,150.12,157.65,70.80
Piramal Enterprises,880.60,"1,139.95",736.60
RR Kabel,"1,755.30","1,901.95","1,136.80"
MCX,"3,880.50","4,270.00","1,411.40"
Titagarh Rail Systems,"1,445.65","1,594.25",410.00
Swan Energy,614.65,782.25,214.25
Blue Dart Express,"8,095.50","8,179.80","5,486.60"
Inox Wind,146.31,177.00,35.13
Birlasoft,683.25,861.85,333.00
Schneider Electric Infra,788.10,955.05,238.55
Bata,"1,468.40","1,771.45","1,269.00"
Cello World,877.85,963.80,711.20
Signature Global,"1,321.90","1,427.90",444.00
IDFC,114.23,137.00,96.50
ATUL,"6,209.35","7,589.90","5,174.85"
Aster DM Healthcare,362.90,558.00,278.00
Shyam Metalics & Energy,647.45,737.80,317.90
Jindal SAW,564.40,598.00,228.30
Computer Age Management Services,"3,665.35","3,685.95","2,132.00"
Chalet Hotels,825.20,958.00,401.55
Triveni Turbines,566.50,676.10,312.00
Nuvama Wealth Management,"5,087.10","5,500.00","2,100.00"
Bikaji Foods International,714.75,727.95,403.30
Poly Medicure,"1,860.55","1,925.60",983.85
V-Guard Industries,410.20,414.65,251.50
Himadri Speciality Chemical,360.85,398.75,125.50
Navin Fluorine International,"3,562.05","4,724.25","2,875.95"
Garden Reach Shipbuilders,"1,535.05","1,573.00",543.25
CAPRI GLOBAL CAPITAL LTD,214.04,289.25,181.25
Sterling & Wilson Renewable Energy,755.05,828.00,253.00
Affle India,"1,251.15","1,336.90",972.00
Chambal Fertilisers & Chemicals,434.85,439.00,250.05
Redington,222.06,237.55,136.20
Alembic Pharmaceuticals,882.95,"1,094.00",585.15
Action Construction Equipment,"1,455.30","1,695.00",453.05
Aptus Value Housing Finance,344.40,392.00,239.70
Gujarat State Petronet,303.50,406.75,254.50
Suven Pharmaceuticals,667.95,768.00,475.15
Great Eastern Shipping Company,"1,188.35","1,209.80",692.20
Raymond,"2,521.20","2,685.00","1,487.60"
BEML,"4,029.20","4,800.00","1,498.15"
Karur Vysya Bank,206.83,218.00,114.10
DCM Shriram Consolidated,"1,057.40","1,175.00",826.30
Anand Rathi Wealth,"3,941.10","4,299.95",851.10
KSB,"4,693.20","5,190.00","2,013.35"
RITES,679.40,825.95,364.80
Zensar Technologies,715.85,723.00,376.00
Jyothy Laboratories,440.90,554.00,204.30
HFCL,112.23,117.80,61.50
Sonata Software,573.75,870.00,469.60
Krishna Institute of Medical Sciences,"2,006.55","2,356.40","1,599.45"
Jai Balaji Industries,938.65,"1,314.00",72.50
Indian Energy Exchange,178.25,181.75,119.00
AstraZeneca Pharma,"6,373.40","7,220.95","3,540.25"
Zee Entertainment,165.05,299.70,125.50
Manappuram Finance,186.77,207.30,118.40
RBL Bank,259.83,300.70,164.55
Tata Teleservices Maharashtra,80.16,109.10,65.05
IndiaMART InterMesh,"2,571.25","3,335.55","2,230.00"
Data Patterns,"2,733.55","3,443.90","1,696.00"
Century Plyboards,679.65,849.50,594.00
Concord Biotech,"1,444.70","1,725.00",900.05
Asahi India Glass,617.05,660.00,467.95
Sanofi,"6,513.05","10,524.95","5,892.80"
Elecon Engineering Company,"1,317.65","1,355.50",544.00
Chennai Petroleum Corporation,979.85,"1,122.50",347.90
Clean Science & Technology,"1,370.80","1,622.00","1,243.00"
Aavas Financiers,"1,837.60","1,934.00","1,307.00"
Intellect Design Arena,"1,064.80","1,199.00",572.00
Godawari Power & ISPAT,"1,063.80","1,088.65",430.15
